prod_year,area_planted,production,value,price_white,price_yellow,
1980_81, 4 488, 14 872,1 768 711, 134.15, 134.00,
1981_82, 4 664, 8 781,1 190 204, 155.05, 155.05,
1982_83, 4 680, 4 399, 770 447, 170.05, 170.05,
1983_84, 4 839, 4 797,1 055 662, 219.50, 215.55,
1984_85, 4 502, 8 444,1 920 603, 221.45, 217.50,
1985_86, 4 829, 8 600,2 008 968, 283.59, 271.77,
1986_87, 5 063, 7 890,1 986 303, 318.00, 306.00,
1987_88, 4 736, 7 670,1 960 705, 288.00, 283.00,
1988_89, 4 394, 12 481,3 328 612, 268.00, 263.00,
1989_90, 4 163, 9 180,2 814 823, 302.67, 302.67,
1990_91, 3 816, 8 614,3 201 580, 357.62, 357.62,
1991_92, 4 173, 3 277,1 489 980, 445.00, 445.00,
1992_93, 4 377, 9 997,4 137 166, 417.00, 417.00,
1993_94, 4 661, 13 275,4 868 414, 330.00, 330.00,
1994_95, 3 526, 4 866,2 825 182, 304.00, 304.00,
1995_96, 3 761, 10 171,6 043 332, 483.97, 475.05,
1996_97, 4 023, 10 136,6 000 866, 580.00, 600.00,
1997_98, 3 560, 7 693,4 454 363, 593.53, 539.40,
1998_99, 3 567, 7 946,5 397 112, 671.25, 677.58,
1999_00, 4 013, 11 455,6 289 684, 535.10, 560.05,
2000_01, 3 189, 7 772,6 928 826, 937.61, 810.27,
2001_02, 3 533, 10 076,13 814 457,1 361.32,1 370.50,
2002_03, 3 651, 9 705,9 134 479, 947.69, 912.95,
2003_04, 3 204, 9 737,8 217 185, 822.28, 875.06,
2004_05, 3 223, 11 749,7 473 768, 659.66, 586.68,
2005_06, 2 032, 6 947,7 418 730, 996.40, 960.33,
2006_07, 2 897, 7 339,10 641 551,1 513.18,1 484.87,
2007_08, 3 297, 13 164,21 926 055,1 606.66,1 580.93,
2008_09, 2 896, 12 567,16 339 129,1 440.96,1 301.75,
2009_10, 3 263, 13 421,13 492 398, 970.02,1 060.43,
2010_11, 2 859, 10 924,16 669 693,1 601.63,1 429.43,
2011_12, 3 141, 12 759,25 123 585,2 018.78,1 901.94,
2012_13, 3 238, 12 486,24 947 939,1 998.03,2 014.24,
2013_14, 3 096, 14 925,29 330 964,1 953.28,1 969.89,
2014_15, 3 048, 10 629,24 800 500,2 447.90,2 133.16,
2015_16, 2 213, 8 214,27 906 422,3 940.00,2 953.88,
2016_17, 2 995, 17 551,30 161 491,1 660.20,1 802.89,
2017_18, 2 634, 13 104,24 485 337,1 791.59,1 955.55,
2018_19, 2 596, 11 824,28 545 421,2 449.31,2 378.93,
2019_20, 2 908, 15 844,39 143 875,2 438.02,2 512.56,
2020_21, 3 118, 16 951,47 392 190,2 730.84,2 870.19,
2021_22, 3 002, 16 137,63 787 742,4 039.61,4 053.61,
