site,pop,sex,age,headL,skullW,totalL,tailL,weight
1,Vic,m,8,94.1,60.4,89,36,245.2834502
1,Vic,f,6,92.5,57.6,91.5,36.5,189.3276164
1,Vic,f,6,94,60,95.5,39,181.2932651
1,Vic,f,6,93.2,57.1,92,38,188.3233225
1,Vic,f,2,91.5,56.3,85.5,36,201.3791433
1,Vic,f,1,93.1,54.8,90.5,35.5,191.3362042
1,Vic,m,2,95.3,58.2,89.5,36,244.2791563
1,Vic,f,6,94.8,57.6,91,37,190.3319103
1,Vic,f,9,93.4,56.3,91.5,37,189.3276164
1,Vic,f,6,91.8,58,89.5,37.5,193.344792
1,Vic,f,9,93.3,57.2,89.5,39,193.344792
1,Vic,f,5,94.9,55.6,92,35.5,188.3233225
1,Vic,m,5,95.1,59.9,89.5,36,244.2791563
1,Vic,m,3,95.4,57.6,91.5,36,240.2619806
1,Vic,m,5,92.9,57.6,85.5,34,252.3135076
1,Vic,m,4,91.6,56,86,34.5,251.3092136
1,Vic,f,1,94.7,67.7,89.5,36.5,193.344792
1,Vic,m,2,93.5,55.7,90,36,243.2748624
1,Vic,f,5,94.4,55.4,90.5,35,191.3362042
1,Vic,f,4,94.8,56.3,89,38,194.3490859
1,Vic,f,3,95.9,58.1,96.5,39.5,179.2846773
1,Vic,m,3,96.3,58.5,91,39.5,241.2662746
1,Vic,f,4,92.5,56.1,89,36,194.3490859
1,Vic,m,2,94.4,54.9,84,34,255.3263893
1,Vic,m,3,95.8,58.5,91.5,35.5,240.2619806
1,Vic,m,7,96,59,90,36,243.2748624
1,Vic,f,2,90.5,54.5,85,35,202.3834372
1,Vic,m,4,93.8,56.8,87,34.5,249.3006258
1,Vic,f,3,92.8,56,88,35,196.3576737
1,Vic,f,2,92.1,54.4,84,33.5,204.392025
1,Vic,m,3,92.8,54.1,93,37,237.2490989
1,Vic,f,4,94.3,56.7,94,39,184.3061468
1,Vic,m,3,91.4,54.6,89,37,245.2834502
2,Vic,m,2,90.6,55.7,85.5,36.5,252.3135076
2,Vic,m,4,94.4,57.9,85,35.5,253.3178015
2,Vic,m,7,93.3,59.3,88,35,247.292038
2,Vic,f,2,89.3,54.8,82.5,35,207.4049067
2,Vic,m,7,92.4,56,80.5,35.5,262.3564467
2,Vic,f,1,84.7,51.5,75,34,222.4693154
2,Vic,f,3,91,55,84.5,36,203.3877311
